name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2020-06-22,22.6,11.1,17.5,22.6,11.1,17.5,9.2,60.2,0,0,0,,0,0,24.8,11.9,226.4,1024.6,20.3,16.2,199,17.2,8,,2020-06-22T04:43:31,2020-06-22T21:21:43,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,F4685,03772099999,03770099999"
"London,UK",2020-06-23,27.6,13.1,20.9,27.4,13.1,20.9,11.7,58.1,0,0,0,,0,0,17.7,8.7,173.6,1023.6,15.2,17.8,201.9,17.4,8,,2020-06-23T04:43:50,2020-06-23T21:21:48,0.08,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03672099999,03781099999,F6665,03772099999,03770099999"
"London,UK",2020-06-24,29.9,16.7,23.6,29,16.7,23.4,13.3,54.5,0,0,0,,0,0,22.8,13.5,93.2,1020.1,16.9,18,190.1,16.3,8,,2020-06-24T04:44:11,2020-06-24T21:21:51,0.11,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03781099999,F6665,03772099999,03770099999"
"London,UK",2020-06-25,30.7,18.2,24.6,30.5,18.2,24.4,14,54.2,0,0,0,,0,0,20.4,13.2,94,1015.3,6.4,20.6,198.6,17.1,9,,2020-06-25T04:44:35,2020-06-25T21:21:50,0.15,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03672099999,03781099999,F6665,03772099999,03770099999"
"London,UK",2020-06-26,29.5,17.5,23.3,29.6,17.5,23.4,15.2,62.4,0.596,100,4.17,rain,0,0,28,15.3,201.2,1009,49.6,19.5,182.2,15.9,8,,2020-06-26T04:45:02,2020-06-26T21:21:46,0.19,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,F4685,03772099999,03770099999"
"London,UK",2020-06-27,20.5,16,17.6,20.5,16,17.6,13,74.9,2.609,100,8.33,rain,0,0,33.6,20.5,208.2,1005.3,78.2,15.3,90.5,8,4,,2020-06-27T04:45:31,2020-06-27T21:21:39,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,F6665,03772099999,03770099999"
"London,UK",2020-06-28,20,12.6,16.1,20,12.6,16.1,9.8,67.3,0.807,100,12.5,rain,0,0,35.1,19.9,237.6,1009.3,57.2,20.6,149.5,12.7,8,,2020-06-28T04:46:04,2020-06-28T21:21:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"London,UK",2020-06-29,19.6,12.6,15.6,19.6,12.6,15.6,8,61.3,2.98,100,4.17,rain,0,0,38.3,21.7,244,1009.9,75.5,19.8,131.5,11.2,6,,2020-06-29T04:46:39,2020-06-29T21:21:16,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
"London,UK",2020-06-30,18.6,13.1,16,18.6,13.1,16,11.8,76.3,0.804,100,8.33,rain,0,0,25.7,13.6,231.6,1007.4,87.3,17.6,77.1,6.8,3,,2020-06-30T04:47:17,2020-06-30T21:21:00,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"London,UK",2020-07-01,20.1,14.5,17.5,20.1,14.5,17.5,12.9,74.8,4.969,100,8.33,rain,0,0,28.9,16,241.1,1005.6,77.2,21.8,124,10.7,6,,2020-07-01T04:47:58,2020-07-01T21:20:40,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"London,UK",2020-07-02,20,12.6,16,20,12.6,16,12.3,79.3,0.23,100,12.5,rain,0,0,26.8,13,257.9,1011.1,60.6,23.5,86.4,7.5,3,,2020-07-02T04:48:41,2020-07-02T21:20:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"London,UK",2020-07-03,20.1,12.6,16.2,20.1,12.6,16.2,11.5,75.2,4.962,100,4.17,rain,0,0,32.9,19.6,236.6,1015.8,76.4,19.3,194.3,16.7,8,,2020-07-03T04:49:26,2020-07-03T21:19:52,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"London,UK",2020-07-04,20.1,15.5,17.7,20.1,15.5,17.7,14.9,83.9,1.002,100,4.17,rain,0,0,34.9,17.8,226.7,1011.1,96.5,14.8,59.8,5.2,2,,2020-07-04T04:50:14,2020-07-04T21:19:24,0.47,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,F6665,03772099999,03770099999"
"London,UK",2020-07-05,21.5,14.6,18.4,21.5,14.6,18.4,10.5,62.3,0,0,0,,0,0,39.7,23.5,252.9,1010.8,62.2,19.7,195.3,16.7,9,,2020-07-05T04:51:05,2020-07-05T21:18:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,F4685,03772099999,03770099999"
"London,UK",2020-07-06,19.6,12.1,16,19.6,12.1,16,7.9,59.7,0,0,0,,0,0,31,17.7,279.8,1018.9,52.5,19.2,90.3,7.8,3,,2020-07-06T04:51:58,2020-07-06T21:18:18,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,F4685,03772099999,03770099999"
